human_rights_un_chi_nf_64kb_0001	ʂɯ˥˩tɕjɛ˥˩ɻə˧˥ntɕʰɥa˧˥nɕɥa˥njɛ˧˥n
human_rights_un_chi_nf_64kb_0065	tsʰɨ˨˩˦ɕjɑ˥˩ŋtɕʰɥa˧˥nli˥˩pɑ˥wkʰwɔ˥˩ka˨˩˦jpjɛ˥˩ntʰɑ˥tətso˥ŋtɕjɑ˥˩whwɔ˥˩ɕi˥˩njɑ˨˩˦ŋtətsɨ˥˩jo˧˥wi˨˩˦tɕi˧˥ta˥ntu˧˥hwɔ˥˩tɕi˧˥tʰi˨˩˦ko˥ŋkʰa˥jhwɔ˥˩mi˥˩mi˥˩ti˥˩i˨˩˦tɕjɑ˥˩wi˥˩ʂɯ˧˥tɕjɛ˥˩nli˨˩˦pa˥˩jhə˧˥tɕjɛ˥˩ly˥˩pjɑ˨˩˦wʂɯ˥˩tʰɑ˥tətso˥ŋtɕjɑ˥˩whwɔ˥˩ɕi˥˩njɑ˨˩˦ŋtətsɨ˥˩jo˧˥w
human_rights_un_chi_nf_64kb_0066	ti˥˩ʂɯ˧˥tɕjo˨˩˦wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0067	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˧˥ŋjo˨˩˦wʈʂu˨˩˦ʈʂɑ˥ŋhə˧˥fɑ˥pjɑ˨˩˦wi˥˩tɕjɛntətsɨ˥˩jo˧˥w
human_rights_un_chi_nf_64kb_0068	tsʰɨ˨˩˦ɕjɑ˥˩ŋtɕʰɥa˧˥nli˥˩pɑ˥wkʰwɔ˥˩ʈʂʰɯ˧˥jo˨˩˦wʈʂu˨˩˦ʈʂɑ˥ŋɚpu˥˩ʂo˥˩wka˥nʂə˥˩tətsɨ˥˩jo˧˥whə˧˥tʰo˥ŋkwɔ˥˩ɻə˥˩nhə˧˥me˧˥jtɕjɛ˥˩hə˧˥pu˧˥lwə˥˩nkwɔ˧˥tɕjɛ˥˩ɕɥə˧˥ntɕʰjo˧˥wtɕjɛ˥ʂo˥˩whə˧˥ʈʂʰwa˧˥nti˥˩ɕjɑ˥wɕi˥hə˧˥sɨ˥ɕjɑ˨˩˦ŋtətsɨ˥˩jo˧˥w
human_rights_un_chi_nf_64kb_0069	ti˥˩˥˩ɚʂɯ˧˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0070	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˧˥ŋjo˨˩˦whə˧˥pʰi˧˥ŋtɕi˧˥hwe˥˩jhə˧˥tɕjɛ˧˥ʂə˥˩tətsɨ˥˩jo˧˥w
human_rights_un_chi_nf_64kb_0071	ɻə˥˩nhə˧˥ɻə˧˥npu˥˩tə˧˥pʰwo˥˩ʂɯ˨˩˦li˥˩ʂu˨˩˦y˧˥mo˨˩˦wi˧˥tʰwa˧˥ntʰi˨˩˦
human_rights_un_chi_nf_64kb_0072	ti˥˩˥˩ɚʂɯ˧˥i˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0073	ɻə˧˥nɻə˧˥njo˨˩˦wʈʂɯ˧˥tɕjɛ˥hwɔ˥˩tʰo˥ŋkwɔ˥˩tsɨ˥˩jo˧˥wɕɥa˨˩˦ntsə˧˥təta˥˩jpjɑ˨˩˦wtsʰa˥ny˥˩ʈʂɯ˥˩li˨˩˦pə˨˩˦nkwɔ˧˥tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0074	ɻə˧˥nɻə˧˥njo˨˩˦wpʰi˧˥ŋtə˨˩˦ŋtɕi˥hwe˥˩jtsʰa˥ntɕja˥pə˨˩˦nkwɔ˧˥ko˥ŋwu˥˩tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0075	ɻə˧˥nmi˧˥ntəi˥˩ʈʂɯ˥˩ʂɯ˥˩ʈʂə˥˩ŋfu˨˩˦tɕʰɥa˧˥nli˥˩tətɕi˥ʈʂʰu˨˩˦
human_rights_un_chi_nf_64kb_0076	ʈʂə˥˩i˧˥i˥˩ʈʂɯ˥˩ji˥˩ŋi˨˩˦ti˥˩ŋtɕʰi˥təhə˧˥ʈʂə˥nʈʂə˥˩ŋtəɕɥa˧˥ntɕy˨˩˦y˧˥i˨˩˦pjɑ˨˩˦wɕjɛ˥˩nɚ˧˥ɕɥa˧˥ntɕy˨˩˦ji˥˩ŋi˥tɕy˥˩pʰu˨˩˦pjɛ˥˩nhə˧˥pʰi˧˥ŋtə˨˩˦ŋtətʰo˧˥wpʰjɑ˥˩wtɕʰɥa˧˥npi˥˩ŋi˨˩˦pu˥˩tɕi˥˩mi˧˥ŋtʰo˧˥wpʰjɑ˥˩whwɔ˥˩ɕjɑ˥ŋtɑ˥ŋtətsɨ˥˩jo˧˥wtʰo˧˥wpʰjɑ˥˩wʈʂʰə˧˥ŋɕy˥˩tɕi˥˩nɕi˧˥ŋ
human_rights_un_chi_nf_64kb_0077	ti˥˩˥˩ɚʂɯ˧˥ɚ˥˩tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0078	me˨˩˦jkə˥˩ɻə˧˥ntswɔ˥˩we˧˥jʂə˥˩hwe˥˩jtəi˧˥ɥɛ˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wʂə˥˩hwe˥˩jpɑ˨˩˦wʈʂɑ˥˩ŋpi˥˩ŋjo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wtʰɑ˥təkə˥˩ɻə˧˥ntswə˥njɛ˧˥nhə˧˥ɻə˧˥nkə˧˥tətsɨ˥˩jo˧˥wfɑ˥ʈʂa˨˩˦nswɔ˨˩˦pi˥˩ɕy˥tətɕi˥ŋtɕi˥˩ʂə˥˩hwe˥˩jhə˧˥wə˧˥nhwɑ˥˩fɑ˥ŋmjɛ˥˩nkə˥˩ʈʂo˨˩˦ŋtɕʰɥa˧˥nli˥˩təʂɯ˧˥ɕjɛ˥˩nʈʂe˥˩jʈʂo˨˩˦ŋʂɯ˧˥ɕjɛ˥˩nʂɯ˥˩tʰo˥ŋkwɔ˥˩kwɔ˧˥tɕja˥nu˧˥li˥˩hə˧˥kwɔ˧˥tɕi˥˩hə˧˥tswɔ˥˩pi˥˩ŋi˥ʈʂɑ˥˩wkə˥˩kwɔ˧˥tətsu˨˩˦ʈʂɯ˥hə˧˥tsɨ˥ɥɛ˧˥ntɕʰi˧˥ŋkʰwɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0079	ti˥˩˥˩ɚʂɯ˧˥sa˥ntʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0080	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nko˥ŋtswɔ˥˩tsɨ˥˩jo˧˥wɕɥa˨˩˦ntsə˧˥ʈʂɯ˧˥jɛ˥˩ɕjɑ˨˩˦ŋʂo˥˩wko˥ŋʈʂə˥˩ŋhə˧˥hə˧˥ʂɯ˥˩təko˥ŋtswɔ˥˩tʰjɑ˧˥wtɕjɛ˥˩npi˥˩ŋɕjɑ˨˩˦ŋʂo˥˩wmjɛ˨˩˦ny˧˥ʂɯ˥jɛ˥˩təpɑ˨˩˦wʈʂɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0081	ɻə˧˥nɻə˧˥njo˨˩˦wtʰo˧˥ŋko˥ŋtʰo˧˥ŋʈʂʰo˧˥wtətɕʰɥa˧˥nli˥˩pu˥˩ʂo˥˩wɻə˥˩nhə˧˥tɕʰi˧˥ʂɯ˥˩
human_rights_un_chi_nf_64kb_0082	me˨˩˦ji˧˥kə˥˩ko˥ŋtswɔ˥˩təɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wko˥ŋʈʂə˥˩ŋhə˧˥hə˧˥ʂɯ˥˩təpɑ˥˩wʈʂʰo˧˥wpɑ˨˩˦wʈʂə˥˩ŋʂɯ˨˩˦tʰɑ˥pə˨˩˦nɻə˧˥nhə˧˥tɕja˥ʂu˨˩˦jo˨˩˦wi˧˥kə˥˩fu˧˥hə˧˥ɻə˧˥ntəʂə˥ŋhwɔ˧˥tʰjɑ˧˥wtɕjɛ˥˩npi˥˩jɑ˥˩wʂɯ˧˥pi˥˩ŋfu˨˩˦i˨˩˦tɕʰi˧˥tʰɑ˥fɑ˥ŋʂɯ˥˩təʂə˥˩hwe˥˩jpɑ˨˩˦wʈʂɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0083	ɻə˧˥nɻə˧˥njo˨˩˦wwe˧˥jwe˧˥jhu˥˩tɕʰi˧˥li˥˩i˥˩ɚ˧˥tsu˨˩˦ʈʂɯ˥hə˧˥tsʰa˥ntɕja˥ko˥ŋhwe˥˩jtətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0084	ti˥˩˥˩ɚʂɯ˧˥sɨ˥˩tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0085	ɻə˧˥nɻə˧˥njo˨˩˦wɕjɑ˧˥ŋjo˨˩˦wɕjo˥wɕi˥hə˧˥ɕjɛ˧˥nɕja˧˥tətɕʰɥa˧˥nli˥˩pɑ˥wkʰwɔ˥˩ko˥ŋtswɔ˥˩ʂɯ˧˥tɕjɛ˥njo˨˩˦whə˧˥li˨˩˦ɕjɛ˥˩nʈʂɯ˥˩hə˧˥ti˥˩ŋtɕʰi˥ke˨˩˦jɕi˥nɕjo˥wtɕja˥˩tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0086	ti˥˩˥˩ɚʂɯ˧˥wu˨˩˦tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0087	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wwe˧˥jwe˧˥jʈʂʰɯ˧˥tʰɑ˥pə˨˩˦nɻə˧˥nhə˧˥tɕja˥ʂu˨˩˦tətɕjɛ˥˩nkʰɑ˥ŋhə˧˥fu˧˥li˥˩swɔ˨˩˦ɕy˥təʂə˥ŋhwɔ˧˥ʂwe˧˥jʈʂwə˨˩˦npɑ˥wkʰwɔ˥˩ʂɯ˧˥wu˥˩i˥ʈʂəʈʂu˥˩fɑ˧˥ŋi˥ljɑ˧˥whə˧˥pi˥˩jɑ˥˩wtəʂə˥˩hwe˥˩jfu˧˥wu˥˩
human_rights_un_chi_nf_64kb_0088	tsa˥˩jtsɑ˥wtɑ˥˩wʂɯ˥jɛ˥˩tɕi˧˥pi˥˩ŋtsʰa˧˥nfe˥˩jʂo˨˩˦wkwɑ˨˩˦ʂwa˥jlɑ˨˩˦whwɔ˥˩tsa˥˩jtɕʰi˧˥tʰɑ˥pu˥˩nə˧˥ŋkʰo˥˩ŋʈʂɯ˥˩tətɕʰi˧˥ŋkʰwɑ˥˩ŋɕja˥˩sɑ˥˩ŋʂɯ˥mo˧˥wʂə˥ŋnə˧˥ŋli˥˩ʂɯ˧˥jo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wpɑ˨˩˦wʈʂɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0089	mu˨˩˦tɕʰi˥nhə˧˥ɚ˧˥tʰo˧˥ŋjo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wtʰə˥˩pjɛ˧˥ʈʂɑ˥˩wku˥˩hə˧˥ɕjɛ˧˥ʈʂu˥˩
human_rights_un_chi_nf_64kb_0090	i˧˥tɕʰjɛ˥˩ɚ˧˥tʰo˧˥ŋwu˧˥lwə˥˩nhwə˥nʂə˥ŋhwɔ˥˩fe˥jhwə˥nʂə˥ŋtu˥ji˥˩ŋɕjɑ˨˩˦ŋʂo˥˩wtʰo˧˥ŋjɑ˥˩ŋtəʂə˥˩hwe˥˩jpɑ˨˩˦whu˥˩
human_rights_un_chi_nf_64kb_0091	ti˥˩˥˩ɚʂɯ˧˥ljo˥˩wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0092	ɻə˧˥nɻə˧˥ntu˥jo˨˩˦wʂo˥˩wtɕjɑ˥˩wy˥˩tətɕʰɥa˧˥nli˥˩tɕjɑ˥˩wy˥˩ji˥ŋtɑ˥ŋmjɛ˨˩˦nfe˥˩jʈʂɯ˥˩ʂɑ˨˩˦wtsa˥˩jʈʂʰu˥tɕi˧˥hə˧˥tɕi˥pə˨˩˦ntɕjɛ˥twa˥˩nji˥˩ŋɻu˧˥tsʰɨ˨˩˦
human_rights_un_chi_nf_64kb_0093	ʈʂʰu˥tɕi˧˥tɕjɑ˥˩wy˥˩ji˥˩ŋʂu˨˩˦i˥˩wu˥˩ɕi˥˩ŋʈʂɯ˥˩
human_rights_un_chi_nf_64kb_0094	tɕi˥˩ʂu˥˩hə˧˥ʈʂɯ˧˥jɛ˥˩tɕjɑ˥˩wy˥˩ji˥˩ŋpʰu˨˩˦pjɛ˥˩nʂə˥˩li˥˩
human_rights_un_chi_nf_64kb_0095	kɑ˥wtə˨˩˦ŋtɕjɑ˥˩wy˥˩ji˥˩ŋkə˥ntɕy˥˩ʈʂʰə˧˥ŋtɕi˥ɚ˧˥twe˥˩ji˧˥tɕʰjɛ˥˩ɻə˧˥npʰi˧˥ŋtə˨˩˦ŋkʰa˥jfɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0096	tɕjɑ˥˩wy˥˩təmu˥˩ti˥˩tsa˥˩jy˧˥ʈʂʰo˥ŋfə˥nfɑ˥ʈʂa˨˩˦nɻə˧˥ntəkə˥˩ɕi˥˩ŋpi˥˩ŋtɕja˥tɕʰjɑ˧˥ŋtwe˥˩jɻə˧˥ntɕʰɥa˧˥nhə˧˥tɕi˥pə˨˩˦ntsɨ˥˩jo˧˥wtətswə˥nʈʂo˥˩ŋ
human_rights_un_chi_nf_64kb_0097	tɕjɑ˥˩wy˥˩ji˥˩ŋtsʰu˥˩tɕi˥˩nkə˥˩kwɔ˧˥kə˥˩ʈʂo˨˩˦ŋtsu˧˥hwɔ˥˩kə˥˩tso˥ŋtɕjɑ˥˩wtɕi˧˥tʰwa˧˥ntɕjɛ˥ntəljɑ˧˥wtɕjɛ˨˩˦ɻo˧˥ŋɻə˨˩˦nhə˧˥jo˨˩˦wi˥˩pi˥˩ŋji˥˩ŋtsʰu˥˩tɕi˥˩nljɛ˧˥nhə˧˥kwɔ˧˥we˧˥jhu˥˩hə˧˥pʰi˧˥ŋtəkə˥˩ɕjɑ˥˩ŋhwɔ˧˥to˥˩ŋ
human_rights_un_chi_nf_64kb_0098	fu˥˩mu˨˩˦twe˥˩jtɕʰi˧˥tsɨ˧˥ny˨˩˦swɔ˨˩˦ji˥˩ŋʂo˥˩wtətɕjɑ˥˩wy˥˩təʈʂo˨˩˦ŋle˥˩jjo˨˩˦wjo˥wɕjɛ˥nɕɥa˨˩˦ntsə˧˥tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0099	ti˥˩˥˩ɚʂɯ˧˥tɕʰi˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0100	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥ntsɨ˥˩jo˧˥wtsʰa˥ntɕja˥ʂə˥˩hwe˥˩jtəwə˧˥nhwɑ˥˩ʂə˥ŋhwɔ˧˥ɕjɑ˨˩˦ŋʂo˥˩wi˥˩ʂu˥˩pi˥˩ŋfə˥nɕjɑ˨˩˦ŋkʰə˥ɕɥɛ˧˥tɕi˥˩npu˥˩tɕi˧˥tɕʰi˧˥ʈʂʰa˨˩˦nʂə˥ŋtəfu˧˥li˥˩
human_rights_un_chi_nf_64kb_0101	ɻə˧˥nɻə˧˥ntwe˥˩jjo˧˥wy˧˥tʰɑ˥swɔ˨˩˦ʈʂʰwɑ˥˩ŋtswɔ˥˩təɻə˥˩nhə˧˥kʰə˥ɕɥɛ˧˥wə˧˥nɕɥɛ˧˥hwɔ˥˩me˨˩˦jʂu˥˩tswɔ˥˩pʰi˨˩˦nɚ˧˥ʈʂʰa˨˩˦nʂə˥ŋtətɕi˥ŋʂə˧˥ntəhə˧˥wu˥˩ʈʂɯ˥˩təli˥˩i˥˩jo˨˩˦wɕjɑ˨˩˦ŋʂo˥˩wpɑ˨˩˦whu˥˩tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0102	ti˥˩˥˩ɚʂɯ˧˥pɑ˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0103	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥njɑ˥wtɕʰjo˧˥wi˧˥ʈʂo˨˩˦ŋʂə˥˩hwe˥˩jtəhə˧˥kwɔ˧˥tɕi˥˩təʈʂɯ˥˩ɕy˥˩tsa˥˩jʈʂe˥˩jʈʂo˨˩˦ŋʈʂɯ˥˩ɕy˥˩ʈʂo˥ŋpə˨˩˦nɕɥa˥njɛ˧˥nswɔ˨˩˦tsa˥˩jtətɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wnə˧˥ŋhwɔ˥˩tə˧˥ʈʂʰo˥ŋfə˥nʂɯ˧˥ɕjɛ˥˩n
human_rights_un_chi_nf_64kb_0104	ti˥˩˥˩ɚʂɯ˧˥tɕjo˨˩˦wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0105	ɻə˧˥nɻə˧˥ntwe˥˩jʂə˥˩hwe˥˩jfu˥˩jo˨˩˦wi˥˩wu˥˩ji˥nwe˧˥jʈʂɯ˧˥jo˨˩˦wtsa˥˩jʂə˥˩hwe˥˩jʈʂo˥ŋtʰɑ˥təkə˥˩ɕi˥˩ŋtsʰa˧˥jkʰə˨˩˦nə˧˥ŋtə˧˥tɑ˥˩wtsɨ˥˩jo˧˥whə˧˥ʈʂʰo˥ŋfə˥ntəfɑ˥ʈʂa˨˩˦n
human_rights_un_chi_nf_64kb_0106	ɻə˧˥nɻə˧˥ntsa˥˩jɕi˧˥ŋʂɯ˨˩˦tʰɑ˥tətɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wʂɯ˧˥ʈʂɯ˨˩˦ʂo˥˩wfɑ˨˩˦ly˥˩swɔ˨˩˦tɕʰɥɛ˥˩ti˥˩ŋtəɕjɛ˥˩nʈʂɯ˥˩tɕʰɥɛ˥˩ti˥˩ŋtsʰɨ˨˩˦ʈʂo˨˩˦ŋɕjɛ˥˩nʈʂɯ˥˩təwe˧˥ji˧˥mu˥˩ti˥˩tsa˥˩jy˧˥pɑ˨˩˦wʈʂə˥˩ŋtwe˥˩jpʰɑ˧˥ŋɻə˧˥ntətɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtɕi˧˥y˨˩˦ji˥ŋjo˨˩˦wtəʈʂʰə˧˥ŋɻə˥˩nhə˧˥tswə˥nʈʂo˥˩ŋpi˥˩ŋtsa˥˩ji˧˥kə˥˩mi˧˥nʈʂu˨˩˦təʂə˥˩hwe˥˩jʈʂo˥ŋʂɯ˥˩ji˥˩ŋtɑ˥˩wtə˧˥ko˥ŋko˥˩ŋʈʂɯ˥˩ɕy˥˩hə˧˥pʰu˨˩˦pjɛ˥˩nfu˧˥li˥˩təʈʂə˥˩ŋtɑ˥ŋɕy˥jɑ˥˩w
human_rights_un_chi_nf_64kb_0107	ʈʂə˥˩ɕjɛ˥tɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtəɕi˧˥ŋʂɯ˨˩˦wu˧˥lwə˥˩ntsa˥˩jɻə˥˩nhə˧˥tɕʰi˧˥ŋɕi˧˥ŋɕja˥˩tɕɥə˥npu˥˩tə˧˥we˧˥jpe˥˩jljɛ˧˥nhə˧˥kwɔ˧˥tətso˥ŋʈʂɯ˨˩˦hə˧˥ɥɛ˧˥ntsə˧˥
human_rights_un_chi_nf_64kb_0108	ti˥˩sa˥nʂɯ˧˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0109	pə˨˩˦nɕɥa˥njɛ˧˥ntəɻə˥˩nhə˧˥tʰjɑ˧˥wwə˧˥npu˥˩tə˧˥tɕjɛ˨˩˦ʂɯ˥˩we˧˥jmwo˥˩ɕy˨˩˦ɻə˥˩nhə˧˥kwɔ˧˥tɕja˥tɕi˧˥tʰwa˧˥nhwɔ˥˩kə˥˩ɻə˧˥njo˨˩˦wtɕʰɥa˧˥ntɕi˥˩nɕi˧˥ŋɻə˥˩nhə˧˥ʈʂɯ˨˩˦tsa˥˩jpʰwo˥˩hwa˥˩jpə˨˩˦nɕɥa˥njɛ˧˥nswɔ˨˩˦tsa˥˩jtəɻə˥˩nhə˧˥tɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtəhwɔ˧˥to˥˩ŋhwɔ˥˩ɕi˧˥ŋwe˧˥j
