human_rights_un_dut_aw_64kb_0001	ˈyːnɪveːˈeːrsˈeːlˈeː vˈeːrklˈɑrɪnɣ vˈɑn dˈeː rˈeːseːhteːˈeːn vˈɑn dˈeː ɛmˈeːns
human_rights_un_dut_aw_64kb_0084	mˈuːdər ˈɛn kˈɪnt hˈɛbə rɛxt ˈɔp biːzˈɔndərə zˈɔrx ˈɛn bˈɛɪstɑnt
human_rights_un_dut_aw_64kb_0085	ɑlə kˈɪndərə ɑl dˈɑn nˈiːt ʋˈɛtəx zˈʉlə dəzˈɛlvdə soːʃˈaːlə bəsxˈɛrmɪŋ xənˈiːtə
human_rights_un_dut_aw_64kb_0086	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0087	eːə ˈiːdər hˈeːft rɛxt ˈɔp ˈɔndərʋɛɪs
human_rights_un_dut_aw_64kb_0088	hɛt ˈɔndərʋɛɪs zˈɑl kˈɔstəloːs zˈɛɪn ɑltˈɑns ʋˈɑt hɛt lˈaːɣər ˈɛn bˈaːzəsɔndərʋɛɪs bətrˈɛft
human_rights_un_dut_aw_64kb_0089	hɛt lˈaːɣər ˈɔndərʋɛɪs zˈɑl vərplˈɪxt zˈɛɪn
human_rights_un_dut_aw_64kb_0090	ɑmbɑxtsɔndərʋɛɪs ˈɛn bərˈuːpsɔplɛɪdɪŋ zˈʉlə ɑlɣəmˈeːn bəsxˈɪɡbaːr ʋˈɔrdə xəstˈɛlt
human_rights_un_dut_aw_64kb_0091	hˈoːɣər ˈɔndərʋɛɪs zˈɑl ˈoːpəstaːn vˈoːr ˈeːn ˈiːdər dˈiː daːrtˈuː də bəɣˈaːfthɛɪt bəzɪt
human_rights_un_dut_aw_64kb_0092	hɛt ˈɔndərʋɛɪs zˈɑl xərɪxt zˈɛɪn ˈɔp də vɔlə ɔntʋɪkəlɪŋ vˈɑn də mˈɛnsələkə pərsˈoːnləkhɛɪt ˈɛn ˈɔp də vərstˈɛrkɪŋ vˈɑn də ˈeːrbiːt vˈoːr də rɛxtə vˈɑn də mɛns ˈɛn də fʉndaːmɛntˈeːlə vrˈɛɪheːdə
human_rights_un_dut_aw_64kb_0093	hɛt zˈɑl hɛt bəɣrɪp də vərdrˈaːxsaːmhɛɪt ˈɛn də vrˈiːntsxɑp ˈɔndər ˈɑlə nˈaːtsiːs rˈɑsə ˈɔf xɔdzdˈiːnstəɣə xruːpə bəvˈɔrdərə ˈɛn hɛt zˈɑl də ʋɛrksaːmheːdə vˈɑn də vɛreːnəɣdə naːtsiːs vˈoːr də hˈɑnthaːvɪŋ vˈɑn də vrˈeːdə stˈøːnə
human_rights_un_dut_aw_64kb_0094	ɑən də ɯdˈərs kˈɔmt ˈɪn də eːrstə plˈaːts hɛt rɛxt tˈuː ɔm də sˈoːrt vˈɑn ˈɔpfuːdɪŋ ˈɛn ˈɔndərʋɛɪs tə kˈiːzə ʋˈɛlkə ˈaːn hˈʉn kˈɪndərə zˈɑl ʋˈɔrdə xəɣeːvə
human_rights_un_dut_aw_64kb_0095	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0096	eːə ˈiːdər hˈeːft hɛt rɛxt ɔm vrɛɪjələk dˈeːl tə nˈeːmə ˈaːn hɛt kʉltyːrˈeːlə lˈeːvə vˈɑn də xəmˈeːnsxɑp ɔm tə xənˈiːtə vˈɑn kʉnst ˈɛn ɔm dˈeːl tə hˈɛbə ˈaːn ʋeːtəsxˈɑpələkə voːrˈœɪtxɑŋ ˈɛn də vrˈʉxtə daːrvˈɑn
human_rights_un_dut_aw_64kb_0097	eːə ˈiːdər hˈeːft hɛt rɛxt ˈɔp də bəsxˈɛrmɪŋ vˈɑn də xˈeːstələkə ˈɛn maːteːriːlə bəlˈɑŋə vˈoːrtsprœɪtəndə ˈœɪt ˈeːn ʋeːtəsxˈɑpələk lɛtərkˈʉndəx ˈɔf ɑrtɪstˈiːk ʋˈɛrk dˈɑt hˈɛɪ hˈeːft vˈoːrtxəbrɑxt
human_rights_un_dut_aw_64kb_0098	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0099	eːə ˈiːdər hˈeːft rɛxt ˈɔp hɛt bəstaːn vˈɑn ˈeːn zˈoːdaːnəɣə maːtsxˈɑpələkə ˈɛn ɪntərnɑtʃoːnˈaːlə ˈɔrdə dˈɑt də rɛxtə ˈɛn vrˈɛɪheːdə ˈɪn dˈeːzə vɛrklaːrɪŋ xənˈuːmt dˈaːrɪn tˈɛn vɔlə kˈʉnə ʋˈɔrdə vərʋˈeːzələkt
human_rights_un_dut_aw_64kb_0100	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0101	eːə ˈiːdər hˈeːft plˈɪxtə jˈeːɣəns də xəmˈeːnsxɑp zˈɔndər ʋˈɛlkə də vrˈɛɪjə ˈɛn vɔlˈeːdəɣə ɔntplˈoːjɪŋ vˈɑn zˈɛɪn pərsˈoːnləkhɛɪt nˈiːt mˈoːɣələk ˈɪs
human_rights_un_dut_aw_64kb_0102	ɪn də ˈœɪtuːfənɪŋ vˈɑn zˈɛɪn rɛxtə ˈɛn vrˈɛɪheːdə zˈɑl ˈeːn ˈiːdər slˈɛxts ɔndərʋˈɔrpə zˈɛɪn ˈaːn dˈiː bəpɛrkɪŋə ʋˈɛlkə bˈɛɪ də ʋɛt zˈɛɪn vˈɑstxəstɛlt ˈɛn ʋˈɛl ˈœɪtslœɪtənt tˈɛr vərzˈeːkərɪŋ vˈɑn də ɔnmˈɪzbaːrə ɛrkˈɛnɪŋ ˈɛn eːrbˈiːdəɣɪŋ vˈɑn də rɛxtə ˈɛn vrˈɛɪheːdə vˈɑn ˈɑndərə ˈɛn ɔm tə vɔldˈuːn ˈaːn də xərɛxtfˈaːrdəɣdə ˈɛɪsə vˈɑn də moːraːliːtˈɛɪt də oːpəbˈaːrə ˈɔrdə ˈɛn hɛt ɑlɣəmˈeːn ʋˈɛlzɛɪn ˈɪn ˈeːn deːmoːkrˈaːtiːsə xəmˈeːnsxɑp
human_rights_un_dut_aw_64kb_0103	deːzə rɛxtə ˈɛn vrˈɛɪheːdə mˈoːɣə ˈɪn xˈeːn xəvˈɑl ʋˈɔrdə ˈœɪtxəuːfənt ˈɪn strˈɛɪt mˈɛt də dˈuːlɛɪndə ˈɛn bəɣˈɪnsələ vˈɑn də vɛreːnəɣdə naːtsiːs
human_rights_un_dut_aw_64kb_0104	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0105	xeːn bəpaːlɪŋ ˈɪn dˈeːzə vɛrklaːrɪŋ zˈɑl zˈoːdaːnəx mˈoːɣə ʋˈɔrdə ˈœɪtxəlɛxt dˈɑt ʋˈɛlkə stˈaːt xruːp ˈɔf pərsˈoːn dˈɑn ˈoːk dˈaːraːn ˈeːnəx rɛxt kˈɑn ɔntlˈeːnə ɔm ˈiːts tə ɔndərnˈeːmə ˈɔf hˈɑndəlɪŋə vˈɑn ʋˈɛlkə ˈaːrt ˈoːk tə vərˈɪxtə dˈiː vərnˈiːtəɣɪŋ vˈɑn ˈeːn vˈɑn də rɛxtə ˈɛn vrˈɛɪheːdə ˈɪn dˈeːzə vɛrkaːrɪŋ xənˈuːmt tˈɛn dˈuːl hˈɛbə
