human_rights_03_eng_rg_64kb_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
human_rights_03_eng_rg_64kb_0093	ɪdʒʊkˈeɪʃn̩ ʃˈæl b dɪɻˈɛktɪd təʊ θɪ fˈʊl dɪvˈɛləpmənt ɒv θɪ hjˈuːmən pˈɜːsənˈælətɪ ænd təʊ θɪ stɻˈɛŋθənɪŋ ɒv ɻɪspɛkt fˈɔːɜ˞ hjˈuːmən ɻˈaɪts ænd fˈʌndəmˈɛntl̩ fɻˈiːdəms
human_rights_03_eng_rg_64kb_0094	ɪt ʃˈæl pɻəmˈəʊt ˈʌndəstˈændɪŋ tˈɒləɻəns ænd frɛndʃɪp əmˈʌŋ ɔːl nˈæʃn̩z ɻˈeɪʃl̩ əɜ˞ ɻɪlˈɪdʒəs ɡɻˈuːps ænd ʃˈæl fɜːðə* θɪ æktˈɪvətɪz ɒv θɪ jˈuːnɪtɪd nˈæʃənz fˈɔːɜ˞ θɪ meɪntˈɛnəns ɒv pˈiːsˈiː
human_rights_03_eng_rg_64kb_0095	pærənts hˈæv ə pɻˈaɪəɜ˞ ɻˈaɪt təʊ ɲˈuːs θɪ kˈaɪnd ɒv ˈɛdʒʊkˈeɪʃn̩ ðˈæt ʃˈæl b ɡˈɪvn̩ təʊ ðˈɛə ɲˈaɪldɻən
human_rights_03_eng_rg_64kb_0096	ætɪkl̩
human_rights_03_eng_rg_64kb_0097	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt fɻˈiːlɪ təʊ pɑːtˈɪsɪpeɪt ɪn θɪ kˈʌlɲəɻəl lˈaɪf ɒv θɪ kəmjˈuːnətɪ təʊ ɪndʒˈɔɪ θɪ ˈɑːts ænd təʊ ʃˈɛəɜ˞ ɪn sˈaɪəntɪfɪk ədvˈɑːnsmənt ænd ˈɪts bˈɛnɪfɪtsn̩
human_rights_03_eng_rg_64kb_0098	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ θɪ pɻətˈɛkʃn̩ ɒv θɪ mˈɒɻəl ænd mətˈɪəɻɪəl ˈɪntɻəsts ɻɪzˈʌltɪŋ fɻˈɒm ˈɛnɪ sˈaɪəntɪfɪk lˈɪtəɻəɻɪ əɜ˞ ɑːtˈɪstɪk pɻədˈʌkʃn̩ ɒv wˈɪɲ hˈiː ɪz θɪ ɔːθˈɒɻən
human_rights_03_eng_rg_64kb_0099	ætɪkl̩
human_rights_03_eng_rg_64kb_0100	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d təʊ ə sˈəʊʃl̩ ænd ˈɪntənˈæʃənl̩ ˈɔːdəɜ˞ ɪn wˈɪɲ θɪ ɻˈaɪts ænd fɻˈiːdəmz sˈɛt fˈɔːθ ɪn ðˈɪs dˈɛkləreɪʃn̩ kən b fʊlɪ ɻˈɪəlaɪzdˈiː
human_rights_03_eng_rg_64kb_0101	ætɪkl̩
human_rights_03_eng_rg_64kb_0102	ˈiːvrɪwʌn hˈæz djˈuːtɪz təʊ θɪ kəmjˈuːnətɪ ɪn wˈɪɲ ələʊn θɪ fɻˈiː ænd fˈʊl dɪvˈɛləpmənt ɒv hˈɪz pˈɜːsənˈælətɪ ɪz pˈɒsəbl̩ˈiː
human_rights_03_eng_rg_64kb_0103	ˈɪn θɪ ˈɛksəsaɪz ɒv hˈɪz ɻˈaɪts ænd fɻˈiːdəmz ˈɛvɻɪwʌn ʃˈæl b sˈʌbdʒɪkt ˈəʊnlɪ təʊ sʌtʃ lˈɪmɪtˈeɪʃn̩z əs ɛə* dɪtˈɜːmɪnd bˈaɪ lˈɔː səʊllɪ fˈɔːɜ˞ θɪ pˈɜːpəs ɒv sɪkjˈʊəɻɪŋ djuː ɻˈiːkɒɡnˈɪʃn̩ ænd ɻɪspɛkt fˈɔːɜ˞ θɪ ɻˈaɪts ænd fɻˈiːdəmz ɒv ˈʌðəz ænd ɒv mˈiːtɪŋ θɪ dʒˈʌst ɻɪkwˈaɪəmənts ɒv məɻˈælətɪ pˈʌblɪk ˈɔːdəɜ˞ ænd θɪ dʒˈɛnəɻəl wɛlfɛə* ɪn ə dˈɛməkrætɪk səsˈaɪətɪˈiː
human_rights_03_eng_rg_64kb_0104	θˈɛsɪ ɻˈaɪts ænd fɻˈiːdəmz mˈeɪ ɪn nəʊ kˈeɪs b ˈɛksəsaɪzd kəntɻəɻɪ təʊ θɪ pˈɜːpəsɪz ænd pɻˈɪnsəpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃn̩s
human_rights_03_eng_rg_64kb_0105	ætɪkl̩
human_rights_03_eng_rg_64kb_0106	nˈəʊðɪŋ ɪn ðˈɪs dˈɛkləreɪʃn̩ mˈeɪ b ɪntˈɜːpɻɪtɪd əs ɪmplˈaɪɪŋ fˈɔːɜ˞ ˈɛnɪ stˈeɪt ɡɻˈuːp əɜ˞ pˈɜːsn̩ ˈɛnɪ ɻˈaɪt təʊ ɪnɡˈeɪdʒ ɪn ˈɛnɪ æktˈɪvətɪ əɜ˞ təʊ pəfˈɔːm ˈɛnɪ ækt ˈeɪmd ˈæt θɪ dɪstɻˈʌkʃn̩ ɒv ˈɛnɪ ɒv θɪ ɻˈaɪts ænd fɻˈiːdəmz sˈɛt fˈɔːθ hˈɪəɻˈɪnˈiː
