human_rights_un_javs_vu_64kb_0001	pɛrandʒatan u.mʊɛm ndʒaenani haka#haaka a.sasi u.mat
human_rights_un_javs_vu_64kb_0108	sa.bən u.wɔŋ mi.nɔŋ.kɔ war.ɡa.nɪŋ bə.bra.jan ma.sja.ra.kat an.du.wɛ.ni ha.ki.ŋa.ta.se dʒa.mi.nan so.si.al sar.ta da.rpe haʔ am.rɪh ka.lɛk.sa.na.ne haʔ#haʔ e.ko.no.mi.so.si.al lan bu.dɔ.jɔ sɪŋ da.di ka.pər.lu.wan mar.ta.ba.te sar.ta mə.ka.rɪŋ pri.ba.di.nə.kan.ʈi bə.bas lu.man.tar rə.ka.da.ja na.si.o.nal u.tɔ.wɔ kar.ja pa.mi.tran ɪn.tər.na.si.o.nal.tʃɔn.ɖɔŋ ma.raŋ tɔ.tɔ pra.na.ta.ne lan sʊm.bər ɖa.ja.nɪŋ na.ɡɔ.rɔ
human_rights_un_javs_vu_64kb_0109	babe
human_rights_un_javs_vu_64kb_0110	
human_rights_un_javs_vu_64kb_0111	sa.bən u.wɔŋ an.du.wɛ.ni haʔ pa.ɡa.we.an haʔ bə.bas mi.lɪh pa.ɡa.we.an da.r.bɛ.haʔ a.na.ne sja.rat#sja.rat ɲam.bʊtɡa.we kan.ʈi a.dɪl lan ŋu.wo.ha.kə.ka.ʊn.tu.ŋan sar.ta ndu.wɛ.ni haʔ i.ŋəjo.man ɪŋ ka.ha.na.ne na.li.ko o.ra.ɲam.bʊt.ɡwə.ŋaŋ.ɡʊr
human_rights_un_javs_vu_64kb_0112	
human_rights_un_javs_vu_64kb_0113	sa.bən u.wɔŋ kan.ʈi ɔ.ra ka.be.ɖaʔ#be.da.ʔa.ke da.rpe haʔ i.ŋəta.se pi.tu.was
human_rights_un_javs_vu_64kb_0114	o.pah a.sɪl kaŋ pa.ɖa tʊm.rap pa.ɡa.we.an kaŋ pa.ɖa
human_rights_un_javs_vu_64kb_0115	
human_rights_un_javs_vu_64kb_0116	sa.bən u.wɔŋ kaŋ ŋla.kɔ.ni pa.ɡa.we.jan ndu.wɛ.ni haʔ nɔm.pɔ o.paha.sɪl.kaŋ a.dɪl lan ŋʊn.tʊŋ.kə.ba.ʈi kaŋ naŋ.ɡʊŋ bi.sa.ne da.di pa.ŋu.ri.pan.kaŋ mʊr.wat ŋɡo ɖi.ri pri.ba.di lan u.ɡo ma.raŋ ka.lu.war.ɡa.ne lan.ma.nɔ.wɔ a.na wi.ɡa.ti.ne ka.tam.bah ɪŋ lɪn.ɖu.ŋan ka.pər.lu.wan so.si.al li.ja.ne
human_rights_un_javs_vu_64kb_0117	
human_rights_un_javs_vu_64kb_0118	sa.bən u.wɔŋ da.rpe haʔ ŋɡɔ.wɔ lan ŋlə.bɔ.ni pa.ɡu.ju.pan#pa.ɡu.ju.pan.pə.ɡa.we ŋɡo ŋa.jɔ.mi ka.pər.lu.a.ne
human_rights_un_javs_vu_64kb_0119	babe
human_rights_un_javs_vu_64kb_0120	sa.bən u.wɔŋ ndu.we haʔ ŋa.so lan li.bʊr kə.lə.bu pra.na.ta.nɪŋ wan.tʃi ɲam.bʊtɡa.we kaŋ mʊr.wat lan di.nɔ li.bʊr kaŋ pan.tɛs kan.ʈi wə.wa.tɔn tu.ma.ta lan tə.tə.pnɔm.pɔo.pah.pi.tu.wa.sɪŋ kar.ja
human_rights_un_javs_vu_64kb_0121	babe
human_rights_un_javs_vu_64kb_0122	
human_rights_un_javs_vu_64kb_0123	sa.bən u.wɔŋ ndu.wɛ.ni haʔ bi.sa.ne u.rɪp kan.ʈi mʊr.wat ŋɡo ka.sa.ra.san.lan ka.tɛn.trɛ.ma.ne da.la.san ku.la.war.ɡa.ne tan kə.ri ɪŋ bap haʔ pa.ŋan.san.ɖaŋ pa.pan lan pa.ŋɔ.pə.nɪŋ ka.sa.ra.san sar.ta ka.pər.lu.an so.si.al siŋda.di ka.bu.tu.an lan haʔ ɔ.lɛh taŋ.ɡu.ŋan dʒa.mi.nan na.li.kɔ ŋla.mi.ŋaŋ.ɡʊr nan.ɖaŋ la.ra tʃa.tʃat da.di wa.ron.ɖɔ ɲan.daʔ u.mʊr tu.wa.u.ta.wa ka.ha.nan li.ja.ne kaŋ ndʒa.la.ri ka.tʃɪŋ.kra.ŋan kaŋ ɲa.ta ŋlu.wi.hi.ɖa.ja kə.ku.wa.ta.ne
human_rights_un_javs_vu_64kb_0124	
human_rights_un_javs_vu_64kb_0125	po.ro bi.jʊŋ i.bu lan tʃah#tʃah da.rpe haʔ ɔ.lɛh pa.ŋɔ.pɛn lan ban.tu.a.nɪs.ti.me.wɔ mi.ruŋ.ɡan
human_rights_un_javs_vu_64kb_0126	ka.bɛh tʃah kaŋ la.ɪr ɪŋ sa.dʒro.nɪŋ ta.ta.na.niŋ.kah u.tɔ.wo san.dʒa.ba.nɪŋ ta.ta.nan niŋ.kah ku.du an.tʊʔ pa.ŋa.jo.manso.si.al kaŋ pa.ɖa
human_rights_un_javs_vu_64kb_0127	babe
human_rights_un_javs_vu_64kb_0128	
human_rights_un_javs_vu_64kb_0129	sa.bən u.wɔŋ da.rpe haʔ ɔ.lɛh paŋ.ɡʊlɔ.wən.ʈah ɪŋ pa.wi.ja.tan kan.ʈi.ɡra.tɪs sa.o.rɔ#o.ra.ne tʊm.rap sə.ko.lah.pa.wi.ja.tan ɖa.sar
human_rights_un_javs_vu_64kb_0130	pa.wi.ja.tan ɖa.sar.ka.wa.dʒi.p.ke
human_rights_un_javs_vu_64kb_0131	sə.ko.lah pa.wi.ja.tan tɛh.nɪʔ lan dʒu.ru.san u.mʊm ŋɡo sa.bənu.wɔŋ kan.ʈi ti.nar.bu.ka sa.bən u.wɔŋ bi.sɔ lu.mə.bu ɪŋ pa.wi.ja.tan lu.hʊr.kan.ʈi pra.na.tan kaŋ pa.ɖa sa.la.ras ka.ro mʊr.wat lan pan.tɛ.se
human_rights_un_javs_vu_64kb_0132	
human_rights_un_javs_vu_64kb_0133	paŋ.ɡʊlɔ.wən.ʈah ku.du ka.ə.nər.ke am.rɪh sa.bən pri.ba.di i.so mə.kar kan.ʈi.om.bər i.so nda.ja.ni sa.ja kɔn.də.le rɔ.sɔ bi.sɔ ŋa.dʒɛ.ni lan ŋu.r.ma.ti haʔ#ha.ka.sa.si u.mat ma.nʊŋ.sɔ lan kə.bə.ba.san#kə.bə.ba.san kaŋ ba.ku
human_rights_un_javs_vu_64kb_0134	paŋ.ɡʊlɔ.wən.ʈah ɪŋ pa.wi.ja.tan ku.du bi.sɔ nə.na.ŋi lan mə.ka.ra.ke ra.sa.tə.pa sa.li.ra ka.ro pə.pa.ɖa.ne mə.ka.rɪŋ pa.mi.tran pa.sə.du.lʊran ɪŋ an.ta.ra.nabɔŋ.so#baŋ.sa bə.bra.jan ras a.pa.de.ne a.ɡɔ.mɔ sar.ta ndʒa.la.ri ku.du sa.ja.mat.dʒu.nɪŋ pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ sa.dʒro.nɪŋ mɛ.mɛ.tri lan ɲɪp.tɔ.bə.ɖaɲ.pi.ru.kʊn
human_rights_un_javs_vu_64kb_0135	
human_rights_un_javs_vu_64kb_0136	pa.ra wɔŋ tu.wɔ da.rpe haʔ u.tɔ.mɔ sa.dʒro.nɪŋ mi.lɪh pa.wi.ja.tan pa.pan.pa.ŋ.ɡu.lɔ.wən.ʈah ŋɡo a.naʔ#a.na.ke
human_rights_un_javs_vu_64kb_0137	babe
human_rights_un_javs_vu_64kb_0138	
human_rights_un_javs_vu_64kb_0139	sa.bən u.wɔŋ du.we haʔ ŋra.sʊʔ lan mbjʊr ɪŋ ki.pra.hɪŋ ka.bu.ɖa.jan ksəʔ.di.nɔ#di.na.ne ɪŋ bə.bra.jan ŋrə.sɛpi sə.ni lan bi.sɔ ŋra.sa.ʔa.ke ŋla.mi.ma.dʒu.nɪŋ u.rɪp lan pa.ə.dahɪŋ ka.wrʊh
human_rights_un_javs_vu_64kb_0140	
human_rights_un_javs_vu_64kb_0141	sa.bən u.wɔŋ du.we haʔ an.tʊʔ pa.ŋa.jo.man aŋ.ɡɔ.ne ki.prah lan ma.kar.ja.ɪŋ ba.ba.kan ŋɛl.mu lan ka.wrʊh # kaŋ a.ru.pa pa.ŋa.jo.man ma.raŋ.ka.ʊn.tu.ŋan sɪŋ a.wu.dʒʊt mo.rɪl u.tɔ.wɔ ma.tri.ɪl u.ɡa ɪŋ ka.su.sas.tran u.ta.wa.se.ni kaŋ tʃi.nɪp.taa.sɪl kar.ja.ne
human_rights_un_javs_vu_64kb_0142	babe
human_rights_un_javs_vu_64kb_0143	sa.bən u.wɔŋ da.rpe haʔ i.ŋəta.se pra.na.tan so.si.al na.si.o.nal lan ɪn.tər.na.si.o.nal.sa.la.ras ka.ro haʔ#haʔ lan ka.bə.ba.san#ka.bə.ba.san kaŋ ka.mɔt ɪŋ pra.ɲa.tan i.ki.bi.sɔ kan.ʈi tə.mɛn ma.u.dʒʊt
human_rights_un_javs_vu_64kb_0144	babe
human_rights_un_javs_vu_64kb_0145	
human_rights_un_javs_vu_64kb_0146	sa.bən u.wɔŋ ndu.wɛ.ni ku.wa.dʒi.pan ma.raŋ bə.bra.jan.ma.sja.ra.kat kaŋ.sa.ɲa.ta.ne ɔ.ra a.na pa.pan li.ja kaŋ bi.sɔ da.di pa.pan mə.ka.rɪŋ ka.pri.ba.dɛ.n.kan.ʈi bə.bas sar.ta tə.mən#tu.mə.mən
human_rights_un_javs_vu_64kb_0147	
human_rights_un_javs_vu_64kb_0148	sadʒ.rɔnɪŋ ŋlɛk.saʔ.na.ni haʔ#haʔ lan ka.bə.ba.san#ka.bə.ba.sa.ne sa.bən u.wɔŋ.ku.du mba.ŋʊn mi.tu.rʊt ma.raŋ pra.na.tan kaŋ sa.la.ras ka.ro un.daŋ#ʊn.daŋ ŋɡɛr#ŋɡɛr kaŋ i.si an.tʃas lan tu.dʒu.wan sɪŋ ɔ.ra a.na li.ja.ka.dʒɔ.bɔ mʊŋ am.rɪh ɡu.mɔ.lo.ŋɪŋ ni.jat ŋu.ɡə.mi lan ŋu.r.ma.ti kan.ʈi trəp.ma.raŋ haʔ#haʔ lan ka.bə.ba.san#ka.bə.ba.san u.wɔŋ li.ja.ne kaŋ.ɡɔ.mu.dʒʊt.ke sja.rat#sja.rat kaŋ a.dɪl ɪŋ bap ka.sʊsi.lan tər.tɪb tu.ma.ta lan.ka.tɛn.trɛ.ma.nɪŋ u.mʊm ɪŋ bə.bra.jan.ma.sja.ra.kat kaŋ ɖe.mo.kra.tɪs
human_rights_un_javs_vu_64kb_0149	
human_rights_un_javs_vu_64kb_0150	haʔ#haʔ lan ka.bə.ba.san#ka.bə.ba.san ka.sə.bʊt kan.ʈi a.lə.san lan pa.wa.da.na.pa a.e ɔ.ra kə.no di.lak.sa.na.ni na.li.sɪr ka.ro an.tʃas lan tu.dʒu.wan sar.tɔ.wə.wa.tɔn#we.wa.tɔnɪŋ pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ
human_rights_un_javs_vu_64kb_0151	babe
human_rights_un_javs_vu_64kb_0152	ɔ.ra a.na si.dʒi a.e i.si sa.dʒro.nɪŋ pra.ɲa.tan i.ki kə.nɔ ka.ta.p.sɪr mɛ.nɛ.i ka.lo.ɖa.ŋan.ma.raŋ sa.wi.dʒi.nɪŋ na.ɡɔ.rɔ pa.ɡu.ju.pan u.tɔ.wɔ pri.ba.di kaŋ a.wu.dʒʊt haʔ su.pa.jaɔ.lɛh u.tɔ.wɔ mu.rɪh.ke an.tʊʔ pa.kar.jan ɔ.pɔ a.e u.tɔ.wɔ ŋla.kɔ.ni tu.mɪn.daʔ kan.ʈi.tu.dʒu.wan ŋru.saʔ haʔ#haʔ lan ka.bə.ba.san#ka.bə.ba.san wu.dʒʊt ɔ.pɔ a.e kaŋ.ka.pa.tʃaʔ ɪŋ sa.dʒro.nɪŋ pra.ɲa.tan i.ki
