eng-AU_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
eng-AU_0127	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ θɪ pɻətˈɛkʃn̩ ɒv θɪ mˈɒɻəl ænd mətˈɪəɻɪəl ˈɪntɻəstsɻɪzˈʌltɪŋ fɻˈɒm ˈɛnɪ sˈaɪəntɪfɪk lˈɪtəɻəɻɪ əɜ˞ ɑːtˈɪstɪk pɻədˈʌkʃn̩ ɒv wˈɪɲ hˈiː ɪz θɪɔːθˈɒɻən
eng-AU_0128	ætɪkl̩
eng-AU_0129	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d təʊ ə sˈəʊʃl̩ ænd ˈɪntənˈæʃənl̩ ˈɔːdəɜ˞ ɪn wˈɪɲ θɪ ɻˈaɪts ˈændfɻˈiːdəmz sˈɛt fˈɔːθ ɪn ðˈɪs dˈɛkləreɪʃn̩ kən b fʊlɪ ɻˈɪəlaɪzdˈiː
eng-AU_0130	ætɪkl̩
eng-AU_0131	ˈiː
eng-AU_0132	ˈiːvrɪwʌn hˈæz djˈuːtɪz təʊ θɪ kəmjˈuːnətɪ ɪn wˈɪɲ ələʊn θɪ fɻˈiː ænd fˈʊldɪvˈɛləpmənt ɒv hˈɪz pˈɜːsənˈælətɪ ɪz pˈɒsəbl̩ˈiː
eng-AU_0133	ˈiː
eng-AU_0134	ˈɪn θɪ ˈɛksəsaɪz ɒv hˈɪz ɻˈaɪts ænd fɻˈiːdəmz ˈɛvɻɪwʌn ʃˈæl b sˈʌbdʒɪkt ˈəʊnlɪtuː sʌtʃ lˈɪmɪtˈeɪʃn̩z əs ɛə* dɪtˈɜːmɪnd bˈaɪ lˈɔː səʊllɪ fˈɔːɜ˞ θɪ pˈɜːpəs ˈɒfsɪkjˈʊəɻɪŋ djuː ɻˈiːkɒɡnˈɪʃn̩ ænd ɻɪspɛkt fˈɔːɜ˞ θɪ ɻˈaɪts ænd fɻˈiːdəmz ɒv ˈʌðəsænd ɒv mˈiːtɪŋ θɪ dʒˈʌst ɻɪkwˈaɪəmənts ɒv məɻˈælətɪ pˈʌblɪk ˈɔːdəɜ˞ ænd θɪdʒɛnərəl wɛlfɛə* ɪn ə dˈɛməkrætɪk səsˈaɪətɪˈiː
eng-AU_0135	ˈiː
eng-AU_0136	θˈɛsɪ ɻˈaɪts ænd fɻˈiːdəmz mˈeɪ ɪn nəʊ kˈeɪs b ˈɛksəsaɪzd kəntɻəɻɪ təʊ θɪpˈɜːpəsɪz ænd pɻˈɪnsəpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃn̩s
eng-AU_0137	ætɪkl̩
eng-AU_0138	nˈəʊðɪŋ ɪn ðˈɪs dˈɛkləreɪʃn̩ mˈeɪ b ɪntˈɜːpɻɪtɪd əs ɪmplˈaɪɪŋ fˈɔːɜ˞ ˈɛnɪ stˈeɪt ɡɻˈuːp ɔɹpˈɜːsn̩ ˈɛnɪ ɻˈaɪt təʊ ɪnɡˈeɪdʒ ɪn ˈɛnɪ æktˈɪvətɪ əɜ˞ təʊ pəfˈɔːm ˈɛnɪ ækt ˈeɪmd ˈæt θˈiːdɪsɻˈʌkʃn̩ ɒv ˈɛnɪ ɒv θɪ ɻˈaɪts ænd fɻˈiːdəmz sˈɛt fˈɔːθ hˈɪəɻˈɪnˈiː
