human_rights_un_urd_ahk_64kb_0001	ʔnsɑːɲɛː ɦqoːq kʔ ɑːɑlmiː mnʃoːr
human_rights_un_urd_ahk_64kb_0079	ɦr ʃxs kʋ t̪ʔlɛːm kʔ ɦq ɦeː t̪ʔlɛːm mft̪ ɦʋ ɡɛː km sɛː km ʔbt̪d̪ʔj ɑoːr bɳiːɑd̪eː d̪rɟʝoːn mɛːn ʔbt̪d̪ʔj t̪ʔlɛːm ɟʝbrj ɦʋ ɡɛː fɲ∅ɛː ɑoːr piːʃh uːrɑŋh t̪ʔlɛːm h∅sl krneː kʔ eːɑːm ∅nt̪zɑm kɛːʔ ɟʝɑːeː ɡʔ ɑoːr ljɑqt̪ kɛː bɳʔ pr ɑːeːliː t̪ʔlɛːm h∅sl krŋɑː sb kɛː lɛː msɑːʋiː t̪ʋr pr mmkɲ ɦʋ ɡʔ
human_rights_un_urd_ahk_64kb_0080	t̪ʔlɛːm kʔ mqsd̪ ʔnsɑːɲɛː ʃxseːt̪ kɛː pɔːrɛː nʃoːuːŋmɑː ɦʋ ɡʔ ɑoːr oːɦ ʔnsɑːɲɛː ɦqoːq ɑoːr bɳiːɑd̪eː ɑːzɑːd̪ɛːɔːn kɛː ɑːɦt̪r∅m mɛːn ɑzɑːfɦ krneː kʔ zrjɑː∅ ɦʋ ɡɛː oːɦ t̪mɑːm qoːmoːn ɑoːr ŋsleː eː∅ mzhbj ɡroːɦʋn kɛː d̪rmiːʔɳ bɑːɦmeː mf∅ɦmt̪ rɔːɑd̪ɑːriː ɑoːr d̪oːst̪iː kʋ t̪rqj d̪ɛː ɡɛː ɑoːr ∅mn kʋ brqrɑːr rkʰneː kɛː lɛː ɑqoːɑːm mt̪ɦd̪∅ kɛː srɡrmeːoːn kʋ ɑːɡeː bɽʱɑeː ɡɛː
human_rights_un_urd_ahk_64kb_0081	uːʔld̪ɛːɳ kʋ ɑs b∅t̪ kɛː ∅nt̪xɑb kʔ ɑːɔː∅lɛːɳ ɦq ɦeː kɦ ɑn kɛː btʃuːn kʋ ks qsm kɛː t̪ʔlɛːm d̪ɛː ɟʝɑːeː ɡɛː
human_rights_un_urd_ahk_64kb_0082	d̪feːh
human_rights_un_urd_ahk_64kb_0083	ɦr ʃxs kʋ qʋm kɛː sqɑft̪j znd̪ɡiː mɛːn ɑːz∅d̪ʔɳh hs∅h liːŋɛː ∅d̪bɛːɑːt̪ sɛː mst̪fiːd̪ hoːŋɛː ɑoːr sɑːns kɛː t̪rqj ɑoːr ɑs kɛː fuːɑd̪ mɛːn ʃrkt̪ kʔ ɦq h∅sl ɦeː
human_rights_un_urd_ahk_64kb_0084	ɦr ʃxs kʋ ɦq h∅sl ɦeː kɦ ɑs kɛː ʊɳ ɑːxlɑqiː ɑoːr mɑd̪∅iː mfɑːd̪ kʔ btʃ∅ kɛːʔ ɟʝɑːeː ɟʝʋ ɑseː ∅eːsɛː sʔŋseː ʕlmj eː∅ ɑːd̪beː t̪sŋeːf sɛː ɟʝs kʔ oːɦ msŋf ɦeː h∅sl ɦʋt̪ɛː ɦɛːn
human_rights_un_urd_ahk_64kb_0085	d̪feːh
human_rights_un_urd_ahk_64kb_0086	ɦr ʃxs ɑiːseː mʕɑʃrt̪iː ɑoːr beːŋ ʔlɑːquː∅meː nzʔm mɛːn ʃ∅ml hoːŋɛː kʔ ɦqd̪ɑr ɦeː ɟʝs mɛːn oːɦ t̪mɑːm ɑːzɑːd̪ɛːʔn ɑoːr ɦqoːq h∅sl ɦʋ skiːn ɟʝʋ ɑs ∅∅l∅ŋ mɛːn pɛːʃ kr d̪ɛː ɡɛː ɦɛːn
human_rights_un_urd_ahk_64kb_0087	d̪feːh
human_rights_un_urd_ahk_64kb_0088	ɦr ʃxs pr mʕɑʃreː kɛː ɦq ɦɛːn kɛːɔːŋkɦ mʕɑʃreː mɛːn rɦ kr ɦɛː ɑs kɛː ʃxseːt̪ kɛː ɑːz∅d̪ʔɳh ɑoːr pɔːrɛː nʃoːuːŋmɑː mmkɲ ɦeː
human_rights_un_urd_ahk_64kb_0089	ʔpɲj ɑːzɑːd̪ɛːɔːn ɑoːr ɦqoːq sɛː fɑːd̪h ∅ʈʰ∅ɳɛː mɛːn ɦr ʃxs srf ∅eːsɛː ɦd̪oːd̪ kʔ pɑbnd̪ ɦʋ ɡʔ ɟʝʋ d̪uːsroːn kɛː ɑːzɑːd̪ɛːɔːn ɑoːr ɦqoːq kʋ t̪sleːm kr∅ɳɛː ɑoːr ɑn kʔ ɑːɦt̪r∅m kr∅ɳɛː kɛː ɣrz sɛː eː∅ ɟʝmɦɔːriː nzʔm mɛːn ɑxl∅q ∅mn oːɑm∅h ɑoːr eːɑːm flɑh oː b∅bɔːd̪ kɛː mɲɑsb lɔːʔzmɑt̪ kʋ pʋr∅ krneː kɛː lɛː q∅noːn kɛː t̪rf sɛː eːɑːd̪ kɛː ɡɛː ɦɛːn
human_rights_un_urd_ahk_64kb_0090	eːɦ ɦqoːq ɑoːr ɑːzɑːd̪ɛːʔn ksj h∅lt̪ mɛːn b̤ɛː ɑqoːɑːm mt̪ɦd̪∅ kɛː mqɑsd̪ ɑoːr ɑsɔːl kɛː xlɑːf ɑːml mɛːn ŋhjn lɑiː ɟʝʔ skt̪eːn
human_rights_un_urd_ahk_64kb_0091	d̪feːh
human_rights_un_urd_ahk_64kb_0092	ɑs ∅∅l∅ŋ kɛː ksj tʃɛːz sɛː koːiː ∅eːsɛː b∅t̪ mrɑːd̪ ŋhjn lɛː ɟʝʔ skt̪j ɟʝs sɛː ksj mlk ɡrɔːɦ eː∅ ʃxs kʋ ksj ∅eːsɛː srɡrmeːoːn mɛːn msroːf hoːŋɛː eː∅ ksj ɑiːseː k∅m kʋ ʔɲɟʝɑːm d̪iːŋɛː kʔ ɦq pɛːd̪∅ ɦʋ ɟʝs kʔ mɳʃ∅ ɑn ɦqoːq ɑoːr ɑːzɑːd̪ɛːɔːn kɛː t̪xreːb ɦʋ ɟʝʋ iːhʔn pɛːʃ kɛː ɡɛː ɦɛːn
human_rights_un_urd_ahk_64kb_0093	
human_rights_un_urd_ahk_64kb_0094	
human_rights_un_urd_ahk_64kb_0095	
