human_rights_un_pl_km_64kb_0001	w
human_rights_un_pl_km_64kb_0083	aʐdɨ pratsujɔ̃ɲtsɨ ma pravɔ dɔ ɔpxn̪pɔvʲˈɛɲɛ̝ɡɔ i z̪dɔˈɨvalˈat̪jɔ̃ɲtsɛɡɔ vɨˈɨ̃n̪aɡrɔdʑɛɲa z̪pɛvɲajɔ̃ɲtsɛɡɔ jɛmu i jɛɡɔ rɔdʑɲɛ̝ ɛɡw̃z̪ɨstɛɲtsjɛ̃ ɔdpɔvʲapxn̪ajɔ̃ɲtsɔ̃ɲ ɡɔˈidʑnɔɕtɕ ludzkʲɛj i uw̃z̪upɛwɲan̪ɛɡɔ v radʑɛ pɔtʂʂɛɛˈabʲɨ iˈɨ̃n̪ˈɨ̃n̪mi ɕrɔdkami pɔmɔtsɨ spɔwɛtʂɲɛj
human_rights_un_pl_km_64kb_0084	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ tvɔʐɛɲa zvʲjˈɔ̃w̃z̪kˈu z̪ˈɨvɔˈidʑɔˈɨvɨx i dɔ pʐɨstɛ̃pɔˈɨvaɲa dɔ zvʲjˈɔ̃w̃z̪kˈu z̪ˈɨvɔˈidʑɔˈɨvɨx dlˈat̪ ɔxrɔɲɨ svɨx in̪tɛrɛsˈu
human_rights_un_pl_km_64kb_0085	rtɨkuw
human_rights_un_pl_km_64kb_0086	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ urlɔpu i vɨpɔtʂɨˈɨ̃n̪ku vwɔ̃ɲtʂajɔ̃ɲts v tɔ rɔw̃z̪is̪ɔ̃ɲˈidʑˈɨ̃n̪ɛ ɔɡraɲtʂɛɲɛ̝ ɡɔdʑn pratsɨ i ɔkrɛis̪ɔvɛ pwatnɛ urlɔpɨ
human_rights_un_pl_km_64kb_0087	rtɨkuw
human_rights_un_pl_km_64kb_0088	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ stɔpɨ ʐɨtɕɔvɛj z̪pɛvɲajɔ̃ɲtsɛj zd̪ɔvʲjˈɛ̝ i dɔbrɔˈabʲɨt jɛɡɔ i jɛɡɔ rɔdʑɲɨ vwɔ̃ɲtʂajɔ̃ɲts v tɔ vɨʐɨvʲjˈɛ̝ɲɛ̝ ɔdʑɛ̝ʐ mɛ̝ʂkaɲɛ̝ ɔpʲɛkɛ̃ lkaris̪kɔ̃ɲ i kɲɛ̝tʂɲɛ ɕvʲapxn̪tʂɛɲa sɔtsjalɲɛ ɔraz pravɔ dɔ ubɛʂɛpʲɛtʂɛɲa na vɨˈɔpadɛk bɛʂɛrɔbɔtɕa xɔrɔbɨ ɲɛ̝zdɔln̪ɔɕtɕ dɔ pratsɨ vdɔvʲjˈɛ̝ɲstˈɨva sarɔɕtɕ lub utʂatɨ ɕrɔdkˈu dɔ ʐɨtɕa v inn̪ɨ spɔs̪ːub ɔd ɲɛ̝ɡɔ ɲɛ̝z̪lˈɛʐn̪ɨ
human_rights_un_pl_km_64kb_0089	atka i dʑɛ̝tsk majɔ̃ɲ pravɔ dɔ spɛtsjaln̪ɛj ɔpʲɛkʲ i pɔmɔtsɨ
human_rights_un_pl_km_64kb_0090	ʂɨstkʲɛ dʑɛ̝tɕ z̪rˈun̪ɔ mawˈɛʐɛɲis̪kɛ̝ jak i pɔz̪mawˈɛʐɛɲis̪kɛ̝ kʐɨs̪ːajɔ̃ɲ z jˈɛɲakˈɨvɛj ɔxrɔɲɨ spɔwɛtʂɲɛj
human_rights_un_pl_km_64kb_0091	rtɨkuw
human_rights_un_pl_km_64kb_0092	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ naukʲ
human_rights_un_pl_km_64kb_0093	auka jɛst bɛw̃z̪pwatn̪a pʐɨnajmɲɛ̝j na stɔpɲu pɔpxn̪s̪ːaˈɨvɔvm
human_rights_un_pl_km_64kb_0094	auka pɔˈidʑs̪ːavɔˈɨva jɛst ɔbɔvʲjˈɔ̃w̃z̪kˈɨva
human_rights_un_pl_km_64kb_0095	ɕvʲˈat̪a tɛxɲtʂɲa i z̪vɔdɔˈɨva jɛst pɔvʂɛxɲɛ̝ dɔstˈɛ̃npna a stuia vɨʐʂɛ sɔ̃ɲ dɔstˈɛ̃npnɛ dlˈat̪ vʂɨstkʲx na z̪adʑɛ̝ rˈuˈɨ̃n̪ɔɕtɕ v z̪lˈɛʐˈɨ̃n̪ɔɕtɕ ɔd z̪lt ɔis̪ɔˈabʲvʲistɨx
human_rights_un_pl_km_64kb_0096	ɛlm nautʂaɲa jɛst pɛwn̪ɨ rɔzvuj ɔis̪ɔˈabʲɔˈɨvɔɕtɕ ludzkʲɛj i uɡruˈɨ̃n̪tɔˈɨvaɲɛ̝ pɔʂaɲɔˈɨvaɲa prav tʂwɔvʲjˈɛ̝ka i pɔdsaˈɨvɔvɨx vɔlnɔɕtɕ
human_rights_un_pl_km_64kb_0097	ʐɛvʲ ɔn̪ɔ zrɔw̃z̪umɛ̝ɲɛ̝ tɔlrantsjɛ̃ i pʐɨjaɔ̃ɲ mvʲiˈɛ̃ndʑɨ vʂɨstkʲmi narɔdami ɡruˈɔpami rasɔvmi lub rɛliɡiˈɨ̃n̪mi
human_rights_un_pl_km_64kb_0098	pɔpʲɛra dʑawaln̪ɔɕtɕ rɲtɕn̪ˈɔʐɲz̪tsji arɔdˈu jˈɛn̪ɔtʂɔn̪ɨx zmɛ̝ʐajɔ̃ɲtsɔ̃ɲ dɔ utʂʂɨ̃maɲa pɔkju
human_rights_un_pl_km_64kb_0099	ɔdʑtsɛ majɔ̃ɲ pravɔ pɛ̝rvʂɛɲstˈɨva v vɨbɔʐɛ nautʂaɲa kturɛ ma bɨtɕ danɛ ix dʑɛ̝tɕɔm
human_rights_un_pl_km_64kb_0100	rtɨkuw
human_rights_un_pl_km_64kb_0101	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ svɔˈabʲɔdˈɨ̃n̪ɛɡɔ utʂɛstɲtʂɛɲa v ʐɨtɕu kulturalɲm spɔwɛtʂɛɲstˈɨva dɔ kʐɨsaɲa zɛ ʂtukʲ dɔ utʂɛstɲtʂɛɲa v pɔstɛ̃pʲɛ naukʲ i kʐɨsaɲa z jɛɡɔ dɔbrɔdʑɛ̝jstv
human_rights_un_pl_km_64kb_0102	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ ɔxrɔɲɨ mɔraln̪ɨx i matɛrialn̪ɨx kʐɨɕtɕ vɨɲkajɔ̃ɲtsɨx z jakʲɛjklvʲjˈɛ̝k jɛɡɔ dʑawaln̪ɔɕtɕ naukvɛj litɛratskʲɛj lub artɨstɨtʂɲɛj
human_rights_un_pl_km_64kb_0103	rtɨkuw
human_rights_un_pl_km_64kb_0104	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ akʲɛɡɔ pɔʐɔ̃ɲdku spɔwɛtʂɲɛɡɔ i mvʲiˈɛ̃ndʑɨɲarɔdɔvɛɡɔ v kturm praˈɨva i vɔlnɔɕtɕ z̪ˈɨvartɛ v ɲɲɛ̝jʂɛj ɛklˈat̪ratsji bɨwbɨ v pɛwɲ rɛaliʂɛɔˈɨvaˈɨ̃n̪ɛ
human_rights_un_pl_km_64kb_0105	rtɨkuw
human_rights_un_pl_km_64kb_0106	aʐdɨ tʂwɔvʲjˈɛ̝k ma ɔbɔvʲjˈɔ̃w̃z̪kʲ vɔbɛts spɔwɛtʂɛɲstˈɨva bɛz kturɛɡɔ ɲɛ̝mɔˈɛʐlvʲiˈɨvɨ jɛst sˈɨvɔbɔˈidʑnɨ i pɛwn̪ɨ rɔzvuj jɛɡɔ ɔis̪ɔˈabʲɔˈɨvɔɕtɕ
human_rights_un_pl_km_64kb_0107	kʐɨs̪ːaɲu zɛ svɨx prav i vɔlnɔɕtɕ kaˈɛʐdɨ tʂwɔvʲjˈɛ̝k pɔdlɲtɕn̪ˈɔʐ jˈɛɨɲɛ̝ akʲm ɔɡraɲtʂɛɲɔm kturɛ sɔ̃ɲ usalɔˈɨ̃n̪ɛ pʐɛz pravɔ vɨwɔ̃ɲtʂɲɛ̝ v tsɛlu z̪pɛvɲɛ̝ɲa ɔpxn̪pɔvʲˈɛɲɛ̝ɡɔ uʂɨ̃naɲa i pɔʂaɲɔˈɨvaɲa prav i vɔlnɔɕtɕ iˈɨ̃n̪ˈɨ̃n̪ɨx i v tsɛlu utʂɨɲɛ̝ɲa z̪pxn̪ɔˈɨɕtɕ swuʂn̪m vmɔɡɔm mɔralnɔɕtɕ pɔʐɔ̃ɲdku publitʂɲɛɡɔ i pɔˈɨvʂɛxnɛɡɔ dɔbrɔbɨtu dɛmɔkratɨtʂɲɛɡɔ spɔwɛtʂɛɲstˈɨva
human_rights_un_pl_km_64kb_0108	ɲɲɛ̝jʂɨx prav i vɔlnɔɕtɕ ɲɛ̝ vɔlˈɨ̃n̪ɔ v ʐapxn̪ɲm pʐɨˈɔpadku kʐɨstatɕ v spɔs̪ːub spʐɛtʂɲɨ z tsɛlˈat̪mi i z̪apxn̪ami rɲtɕn̪ˈɔʐɲz̪tsji arɔdˈu jˈɛn̪ɔtʂɔn̪ɨx
human_rights_un_pl_km_64kb_0109	rtɨkuw
human_rights_un_pl_km_64kb_0110	ʐapxn̪ˈɨ̃n̪ɛɡɔ z pɔs̪ːanɔvʲjˈɛ̝ɲ ɲɲɛ̝jʂɛj ɛklˈat̪ratsji ɲɛ̝ mɔʐɲa rɔʂɛumɛ̝tɕ jak udʑɛlˈat̪jɔ̃ɲtsɛɡɔ jakʲɛmuklvʲjˈɛ̝k aɲstvu ɡrupʲɛ lub ɔsɔbɛ̝ jakʲɛɡɔklvʲjˈɛ̝k praˈɨva dɔ pɔpxn̪ɛjmɔˈɨvaɲa dʑawaln̪ɔɕtɕ lub vɨdaˈɨvaɲa aktˈu zmɛ̝ʐajɔ̃ɲtsɨx dɔ ɔbalɲa kturɛɡɔklvʲjˈɛ̝k z prav i vɔlnɔɕtɕ z̪ˈɨvartɨx v ɲɲɛ̝jʂɛj ɛklˈat̪ratsji
