human_rights_03_eng_jkb_64kb_0001	#ni.vɛɹ.sl̩# #ik.lɚ.ˈei.ʃn̩# #əv# #ˈʌmn̩# ˌɑɪts#
human_rights_03_eng_jkb_64kb_0073	#h# #wˈɪl# #əv# #ði# #pˈi.pl̩# #ʃˈæl# #bi# #ði# #bˈei.sɪs# #əv# #ði# #ə.ɵˈɑ.ɹɪ.ti# #əv# #gˈʌ.vəɹn.mn̩t#
human_rights_03_eng_jkb_64kb_0074	#ðɪs# #wˈɪl# #ʃˈæl# #bi# #ɪk.spɹˈɛst# #ˈɪn# #pˌi.ɹi.ˈɑ.dɪk# #ˈænd# #dʒˈɛn.jə.wn̩# #ɪ.lˈɛk.ʃn̩z# #ɪtʃ# #ʃˈæl# #bi# #bˈɑɪ# #jˌu.nə.vˈɝɹ.sl̩# #ˈænd# #ˈi.kwl̩# #sˈʌ.fɹɪdʒ# #ˈænd# #ʃˈæl# #bi# #hɛld# #bˈɑɪ# #sˈi.kɹɪt# #voʊt# #əɹ# #bˈɑɪ# #ɪ.kwˈɪ.və.ln̩t# #fɹˈi# #vˈoʊ.ɾɪŋ# #pɹə.sˈi.dʒɚ.z#
human_rights_03_eng_jkb_64kb_0075	#ɹ.ɾɪ.kl̩# .tˈu#
human_rights_03_eng_jkb_64kb_0076	#vɚ.jˌoʊn# #ˈæz# # #mˈɛm.bɚ# #əv# #sə.sˈɑɪ.ɪ.ti# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #sˈoʊ.ʃl̩# #sɪ.kjˈʊ.ɹɪ.ti# #ˈænd# #ɪz# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #ɹˈi.lə.zˈei.ʃn̩# #ɵɹu# #nˈæ.ʃə.nl̩# #ˈɛ.fɚt# #ˈænd# #ˌɪn.təɹ.nˈæ.ʃə.nl̩# #koʊ.ˌɑ.pə.ɹˈei.ʃn̩# #ˈænd# #ˈɪn# #ə.kˈɑɹ.dn̩s# #wɪɵ# #ði# #ˌɑɹ.gə.nɪ.ˈæ.ei.ʃn̩# #ˈænd# #ɹˈi.sɔɹ.sɪz# #əv# ˈitʃ# #tˈeit# #əv# #ði# #ˌi.kə.nˈɑ.mɪk# #sˈoʊ.ʃl̩# #ˈænd# #kˈʌl.tʃə.ɹl̩# #ɹˈɑɪts# #ˌɪn.dɪs.pˈɛn.sə.bl̩# #fɚ# #hɪz# #dˈɪg.nə.ti# #ˈænd# #ði# #fɹˈi# #dɪ.vˈɛ.ləp.mn̩t# #əv# #hɪz# #pˌɝɹ.sə.nˈæ.lɪ.ti#
human_rights_03_eng_jkb_64kb_0077	#ɹ.ɾɪ.kl̩# .tn#
human_rights_03_eng_jkb_64kb_0078	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #wˈɝk# #tˈoʊ# #fɹˈi# #tʃˈɔis# #əv# #ɛm.plˈɔi.mn̩t# #tˈoʊ# #dʒəst# #ˈænd# #fˈei.və.ɹə.bl̩# #kn̩.dˈɪ.ʃn̩z# #əv# #wˈɝk# #ˈænd# #tˈoʊ# #pɹə.tˈɛk.ʃn̩# #ə.gˈɛnst# #ˌʌ.nɪm.plˈɔi.mn̩s#
human_rights_03_eng_jkb_64kb_0079	#vɚ.jˌoʊn# #wɪ.ɵˈaʊt# #ˈɛ.ni# #dɪs.kɹˌɪ.mə.nˈei.ʃn̩# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ˈi.kwl̩# #pˈei# #fɚ# #ˈi.kwl̩# #wˈɝk#
human_rights_03_eng_jkb_64kb_0080	#vɚ.jˌoʊn# #hˈu# #wˈɝɹks# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #dʒəst# #ˈænd# #fˈei.və.ɹə.bl̩# #ɹɪ.mjˌu.nɚ.ˈei.ʃn̩# #ɛn.ʃˈʊ.ɹɪŋ# #fɚ# #hɪm.sˈɛlf# #ˈænd# #hɪz# #fˈæ.mə.li# #ən# #ɪg.zˈɪs.tn̩s# #wˈɝ.ði# #əv# #hjˈu.mn̩# #dˈɪg.nə.ti# #ˈænd# #sˈʌp.lə.mˌɛn.tɪd# #ˈɪf# #nˈɛ.sə.sˌɛ.ɹi# #bˈɑɪ# #ˈʌ.ðəɹ# #mˈinz# #əv# #sˈoʊ.ʃl̩# #pɹə.tˈɛk.ʃə.n#
human_rights_03_eng_jkb_64kb_0081	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #fɑɹm# #ˈænd# #tˈoʊ# #dʒˈɔin# #tɹˈeid# #jˈun.jn̩z# #fɚ# #ði# #pɹə.tˈɛk.ʃn̩# #əv# #hɪz# #ˈɪn.tɚ.ɪss##
human_rights_03_eng_jkb_64kb_0082	#ɹ.ɾɪ.kl̩# ˌi.tˌu.fˌoʊɹ.t
human_rights_03_eng_jkb_64kb_0083	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ɹɪst# #ˈænd# #lˈi.ʒəɹ# #ɪn.klˈu.dɪŋ# #ɹˈi.zə.nə.bl̩# #lˈɪ.mɪ.tˈei.ʃn̩# #əv# #wˈɝɹ.kɪŋ# #ˈaʊɹz# #ˈænd# #pˌi.ɹi.ˈɑ.dɪk# #hˈɑ.lə.dˌeiz# #wɪɵ# #pˈei.#
human_rights_03_eng_jkb_64kb_0084	#ɹ.ɾɪ.kl̩# .tˌi.fˌɑɪv#
human_rights_03_eng_jkb_64kb_0085	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# # #stˈæn.dɚd# #əv# #lˈɪ.vɪŋ# #ˈæ.də.kwɪt# #fɚ# #ði# #hˈɛlɵ# #ˈænd# #wˌɛl.bˈi.ɪŋ# #əv# #hɪm.sˈɛlf# #ˈænd# #əv# #hɪz# #fˈæ.mə.li# #ɪn.klˈu.dɪŋ# #fˈud# #klˈoʊ.ðɪŋ# #hˈaʊ.zɪŋ# #ˈænd# #mˈɛ.dɪ.kl̩# #kɛɹ# #ˈænd# #nˈɛ.sə.sˌɛ.ɹi# #sˈoʊ.ʃl̩# #sˈɝɹ.vɪ.sˌiz# #ˈænd# #ði# #ɹˈɑɪt# #tˈoʊ# #sɪ.kjˈʊ.ɹɪ.ti# #ˈɪn# #ði# #ɪ.vˈɛnt# #əv# #ˌʌ.nɪm.plˈɔi.mn̩t# #sˈɪk.nəs# #dˌɪ.sə.bˈɪ.lɪ.ti# #wˈɪ.doʊ.hˌʊd# #ˈoʊld# #eidʒ# #əɹ# #ˈʌ.ðəɹ# #lˈæk# #əv# #lˈɑɪv.li.hˌʊd# #ˈɪn# #sˌɝɹ.kəm.stˌæn.sɪz# #bi.ˈɑnd# #hɪz# #kn̩.tɹˈoʊl#
human_rights_03_eng_jkb_64kb_0086	#ˈʌ.ðəɹ.hˌʊd# #ˈænd# #tʃˈɑɪld.hˌʊd# #ˈɑɹ# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #spˈɛ.ʃl̩# #kɛɹ# #ˈænd# #ə.sˈɪs.tn̩s##
human_rights_03_eng_jkb_64kb_0087	#ll# #tʃˈɪl.dɹn̩# #ˈɛ.ðəɹ# #bɑɹn# #ˈɪn# #əɹ# ˌaʊt# #əv# #wˈɛd.lɑk# #ʃˈæl# #ɛn.dʒˈɔi# #ði# #seim# #sˈoʊ.ʃl̩# #pɹə.tˈɛk.ʃə.n#
human_rights_03_eng_jkb_64kb_0088	#ɹ.ɾɪ.kl̩# .tks#
human_rights_03_eng_jkb_64kb_0089	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ˌɛdʒ.ju.kˈeiʃ.n#
human_rights_03_eng_jkb_64kb_0090	#dʊ.kˈei.ʃn̩# #ʃˈæl# #bi# #fɹˈi# #ˈæt# #lˈist# #ˈɪn# #ði# #ˌɛ.lə.mˈɛn.tə.ɹi# #ˈænd# #fˌʌn.də.mˈɛn.tl̩# #stˈeidʒ.z#
human_rights_03_eng_jkb_64kb_0091	#lə.mˈɛn.tə.ɹi# #ˌɛ.dʒʊ.kˈei.ʃn̩# #ʃˈæl# #bi# #kəm.pˈʌl.sə.ɹi#
human_rights_03_eng_jkb_64kb_0092	#ˈɛk.nɪ.kl̩# #ˈænd# #pɹə.fˈɛ.ʃə.nl̩# #ˌɛ.dʒʊ.kˈei.ʃn̩# #ʃˈæl# #bi# #mˈeid# #dʒˈɛ.nə.ɹə.li# #ə.vˌei.lə.bl̩# #ˈænd# #hˈɑɪ.əɹ# #ˌɛ.dʒʊ.kˈei.ʃn̩# #ʃˈæl# #bi# #ˈi.kwl̩.li# #æk.sˈɛ.sə.bl̩# #tˈoʊ# #ˈɔl# #ˈɑn# #ði# #bˈei.sɪs# #əv# #mˈɛ.ɹə.t#
human_rights_03_eng_jkb_64kb_0093	#dʊ.kˈei.ʃn̩# #ʃˈæl# #bi# #dɪ.ɹˈɛk.tɪd# #tˈoʊ# #ði# #fˈʊl# #dɪ.vˈɛ.ləp.mn̩t# #əv# #ði# #hjˈu.mn̩# #pˌɝɹ.sə.nˈæ.lɪ.ti# #ˈænd# #tˈoʊ# #ði# #stɹˈɛŋ.ɵə.nɪŋ# #əv# #ɹɪs.pˈɛkt# #fɚ# #hjˈu.mn̩# #ɹˈɑɪts# #ˈænd# #fˌʌn.də.mˈɛn.tl̩# #fɹˈi.dəmz#
human_rights_03_eng_jkb_64kb_0094	# #ʃˈæl# #pɹə.mˈoʊt# #ˌʌn.dəɹ.stˈæn.dɪŋ# #tˈɑ.lɚ.n̩s# #ˈænd# #fɹˈɛn.ʃɪp# #ə.mˈʌŋ# #ˈɔl# #nˈei.ʃn̩z# #ɹˈei.ʃl̩# #əɹ# #ɹɪ.lˈɪ.dʒəs# #gɹˈups# #ˈænd# #ʃˈæl# #fˈɝɹ.ðəɹ# #ði# #æk.tˈɪ.vɪ.tiz# #əv# #ði# #nˌɑɪ.tˌɪd# #ˈæ.ʃn̩z# #fɚ# #ði# #mˈein.tə.nn̩s# #əv# #pˈis.#
human_rights_03_eng_jkb_64kb_0095	#ˈɛ.ɹn̩ts# #hæv# # #pɹˈɑɪ.əɹ# #ɹˈɑɪt# #tˈoʊ# #tʃˈuz# #ði# #kˈɑɪnd# #əv# #ˌɛ.dʒʊ.kˈei.ʃn̩# #ðˈæt# #ʃˈæl# #bi# #gˈɪ.vn̩# #tˈoʊ# #ðˌeiɹ# #tʃˈɪl.dɹn̩#
human_rights_03_eng_jkb_64kb_0096	#ɹ.ɾɪ.kl̩# .t.vˌɛn#
human_rights_03_eng_jkb_64kb_0097	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #fɹˈi.li# #tˈoʊ# #pɑɹ.tˈɪ.sə.pˌeit# #ˈɪn# #ði# #kˈʌl.tʃə.ɹl̩# #lɑɪf# #əv# #ði# #kə.mjˈu.nɪ.ti# #tˈoʊ# #ɛn.dʒˈɔi# #ði# #ˈɑɹts# #ˈænd# #tˈoʊ# #ʃɛɹ# #ˈɪn# #sˌɑɪ.n̩.tˈɪ.fɪk# #æd.vˈæn.smn̩t# #ˈænd# #ˈɪts# #bˈɛ.nə.fɪ.z#
human_rights_03_eng_jkb_64kb_0098	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ði# #pɹə.tˈɛk.ʃn̩# #əv# #ði# #mˈɑ.ɹl̩# #ˈænd# #mə.tˈi.ɹi.l̩# #ˈɪn.tɚ.ɪss# #ɹɪ.zˈʌl.tɪŋ# #fɚm# #ˈɛ.ni# #sˌɑɪ.n̩.tˈɪ.fɪk# #lˈɪ.ɾə.ɹˌɛ.ɹi# #əɹ# #ɑɹ.tˈɪs.tɪk# #pɹə.dˈʌk.ʃn̩# #əv# #ɪtʃ# #h# #ɪz# #ði# #ˈɔ.ɵɚ.#
human_rights_03_eng_jkb_64kb_0099	#ɹ.ɾɪ.kl̩# .t.ˌeit#
human_rights_03_eng_jkb_64kb_0100	#vɚ.jˌoʊn# #ɪz# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# # #sˈoʊ.ʃl̩# #ˈænd# #ˌɪn.təɹ.nˈæ.ʃə.nl̩# #ˈɔɹ.dɚ# #ˈɪn# #ɪtʃ# #ði# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #sˈɛt# #fˈɔɹɵ# #ˈɪn# #ðɪs# #ik.lɚ.ˈei.ʃn̩# #kˈæn# #bi# #fˈʊ.li# #ɹˈi.lˌɑɪzd#
human_rights_03_eng_jkb_64kb_0101	#ɹ.ɾɪ.kl̩# ˈu#
human_rights_03_eng_jkb_64kb_0102	#vɚ.jˌoʊn# #hˈæz# #dˈu.tiz# #tˈoʊ# #ði# #kə.mjˈu.nɪ.ti# #ˈɪn# #ɪtʃ# #ə.lˈoʊn# #ði# #fɹˈi# #ˈænd# #fˈʊl# #dɪ.vˈɛ.ləp.mn̩t# #əv# #hɪz# #pˌɝɹ.sə.nˈæ.lɪ.ti# #ɪz# #pˈɑ.sə.bl̩.#
human_rights_03_eng_jkb_64kb_0103	# #ði# #ˈɛk.səɹ.sˌɑɪz# #əv# #hɪz# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #ˈɛ.vɹin̩# #ʃˈæl# #bi# #səb.dʒˈɛkt# #ˈoʊn.li# #tˈoʊ# #sək# #lˈɪ.mɪ.tˈei.ʃn̩z# #ˈæz# #ˈɑɹ# #dɪ.tˈɝ.mn̩d# #bˈɑɪ# #lɑ# #sˈoʊl.li# #fɚ# #ði# #pˈɝɹ.pəs# #əv# #sɪk.jˈʊ.ɹɪŋ# #du# #ɹˌɛ.kəg.nˈɪ.ʃn̩# #ˈænd# #ɹɪs.pˈɛkt# #fɚ# #ði# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #əv# #ˈʌ.ðəɹz# #ˈænd# #əv# #mˈi.ɾɪŋ# #ði# #dʒəst# #ɹɪ.kwˈɑɪɹ.mn̩ts# #əv# #mə.ɹˈæ.lɪ.ti# #pˈʌ.blɪk# #ˈɔɹ.dɚ# #ˈænd# #ði# #dʒˈɛn.ɹl̩# #wˈɛl.fˌɛɹ# #ˈɪn# # #dˌɛ.mə.kɹˈæ.ɾɪk# #sə.sˈɑɪ.ɪ.ti#
human_rights_03_eng_jkb_64kb_0104	#hˈiz# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #mˈei# #ˈɪn# #noʊ# #keis# #bi# #ˈɛk.sɚ.sˌɑɪzd# #kˈɑn.tɹɛ.ɹi# #tˈoʊ# #ði# #pˈɝɹ.pə.s# #ˈænd# #pɹˈɪn.sə.pl̩z# #əv# #ði# #nˌɑɪ.tˌɪd# #ˈæ.ʃn̩z#
human_rights_03_eng_jkb_64kb_0105	#ɹ.ɾɪ.kl̩# n#n#
human_rights_03_eng_jkb_64kb_0106	#ˈʌ.ðɪŋ# #ˈɪn# #ðɪs# #ik.lɚ.ˈei.ʃn̩# #mˈei# #bi# #ɪn.tˈɝp.ɹə.tɪd# #ˈæz# #ɪm.plˈɑɪ.ɪŋ# #fɚ# #ˈɛ.ni# #tˈeit# #gɹˈup# #əɹ# #pɚ.sn̩# #ˈɛ.ni# #ɹˈɑɪt# #tˈoʊ# #ɛn.gˈeidʒ# #ˈɪn# #ˈɛ.ni# #æk.tˈɪ.vɪ.ti# #əɹ# #tˈoʊ# #pɚ.fˈɔɹm# #ˈɛ.ni# #ˈækt# #ˈeimd# #ˈæt# #ði# #dɪ.stɹˈʌk.ʃn̩# #əv# #ˈɛ.ni# #əv# #ði# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #sˈɛt# #fˈɔɹɵ# #hˌi.ɹɪn.#
