human_rights_un_fri_sn_64kb_0001	ˈyːniːvɛrzˈeːlə fɛrkleːjˈɑrɪŋ fˈɛn də rjɔxtə fˈɛn də mˈɪnskə
human_rights_un_fri_sn_64kb_0094	iːt ndərʋˈɪˈiː sˈɪl rjˈɔxtə ʋzə ˈɔp ɪt fˈɔlt ntʋˈɪkəljə fˈɛn ˈeːjə mˈɪnsklɑjk pərsˈoːɑnlɪkhɛɪt ˈɛn ˈɔp ɪt fɛrstɛrkjə fˈɛn ˈeːjə ˈiːrbiːt foːɑr də rjɔxtə fˈɛn ˈeːjə mˈɪnskə ˈɛn də fneːmɪntˈeːlə frˈɛɪheːdə
human_rights_un_fri_sn_64kb_0095	lt sˈɪl ɪt bəɣriːp də fɛrdrˈaːxsyːmɛns ˈɛn də freːjˈɔnskɪp ndər ˈɑlə nˈaːsjəs rˈɑsə ˈɔf xˈɔtstʃˈɪnstəɣə xruːpə bəfɒːrdərjə ˈɛn ɪt sˈɪl ɪt ʋˈʉrk fˈɛn ˈeːjə feːrˈiːnə naːsjəs foːɑr ɪt hɑntˈaːvəjə fˈɛn ˈeːjə freːdə stiːpjə
human_rights_un_fri_sn_64kb_0096	ɔən də ldə kˈɔmt jn ɪt fˈɔˈɑrstə plˈɑk ɪt rjɔxt taː də soːɑrtə fˈɛn ˈɔpfiːdɪŋ ˈɛn ndərʋˈɪˈiː tə kˈiːzə diːt hˈɑrə bɛrn jn ʋˈʉrdə sˈɪl
human_rights_un_fri_sn_64kb_0097	kst
human_rights_un_fri_sn_64kb_0098	eːlk hɑt ɪt rjɔxt jn ˈɑlə frɛɪjəns dˈiːl tə nˈɪmə oːʋˈaːn ɪt kˈʉltyːrˈeːlə lˈɪbə fˈɛn ˈeːjə mˈiːnskɪp tə xənˈiːtʃə fˈɛn kˈøːnst ˈɛn dˈiːl tə hɒːʋə oːʋˈaːn ʋˈɪtəskiːplɑjk foːɑrtxɔŋ ˈɛn də frʉxtə drfɑn
human_rights_un_fri_sn_64kb_0099	eːlk hɑt rjɔxt ˈɔp ˈeːjə bəskɛrmɪŋ fˈɛn xəɑstlɑjk ˈɛn maːteːriːlə bəlˈɑŋə diːt fyːɒːrkɔmə t ˈɪn ʋˈɪtəskiːplɪk lɛtərkˈʉndˈɪx ˈɔf ɑrtɪstiːk ʋˈʉrk dˈɑt ˈɛr fyːˈɔrdbrɔxt hɑt
human_rights_un_fri_sn_64kb_0100	kst
human_rights_un_fri_sn_64kb_0101	eːlk hɑt rjɔxt ˈɔp ɪt bəstˈeːɑn fˈɛn sˈɑˈən mˈaːtskiːplɑjk ˈɛn jntɛrnˈaːsjoːnˈaːlə ɒːrdər dˈɑt də rjɔxtə ˈɛn frˈɛɪheːdə neːjɑmt jn dˈɪzə fɛrkleːjˈɑrɪŋ dr fˈɔlslɛɪn jn fɛrʋzətlɑjk ʋˈʉrdə kˈɪnə
human_rights_un_fri_sn_64kb_0102	kst
human_rights_un_fri_sn_64kb_0103	eːlk hɑt plˈɪxtə foːɑr də mˈiːnskɪp ˈuːr
human_rights_un_fri_sn_64kb_0104	ɑlˈɪnə dr ˈɪs də frɛɪjə ˈɛn fˈɔlsleːjˈiːnə ntploːʋˈaːɪŋ fˈɛn siːn pərsˈoːɑnlɪkhɛɪt jn mˈoːɣlɪk
human_rights_un_fri_sn_64kb_0105	ˈɛɪn ɪt tˈuːfəjə fˈɛn siːn rjɔxtə ˈɛn frˈɛɪheːdə sˈɪl ˈɛlk ɑlˈɪnə mˈɑr ndərʋˈʉrpə ʋzə oːʋˈaːn diː bəhˈɛɪnɪŋs diːt biː də ʋɛt fststɛlt bˈɪnə ˈɛn ʋˈɔl ˈɪŋkəlt ˈɛn ɑlˈɪnə foːɑr də nmˈiːbərə ɛrkˈɛnɪŋ ˈɛn ˈiːrbˈiːdəɣɪŋ fˈɛn ˈeːjə rjɔxtə ˈɛn frˈɛɪheːdə fˈɛn oːʋˈaːrə ˈɛn ɔm tə fˈɔldʋaːn oːʋˈaːn də rjɔxtfˈiːrdəɣə ˈeːjɑskə fˈɛn ˈeːjə moːraːliːtˈɛɪt ˈiːpəbjˈɛːrə ɒːrdər ˈɛn ɪt ɑlɣəmˈiːn ʋˈɔlʋzə jn ˈɪn deːmoːkraːtiːskə mˈiːnskɪp
human_rights_un_fri_sn_64kb_0106	diː rjɔxtə ˈɛn frˈɛɪheːdə mˈɛɪjə jn xjɪn xəfɑl tuːfənə ʋˈʉrdə jn strˈɪɪt mˈɛɪ də dˈuːlə ˈɛn bəɣjɪnsəls fˈɛn ˈeːjə feːrˈiːnə naːsjəs
human_rights_un_fri_sn_64kb_0107	kst
human_rights_un_fri_sn_64kb_0108	xjɪn bəpaːlɪŋ jn dˈɪzə fɛrkleːjˈɑrɪŋ sˈɪl saː tlɛɪn ʋˈʉrdə mˈɛɪjə dˈɑt hˈɔkər steːjɑt xruːp ˈɔf pərsˈoːɑn dˈɑn ɛk dr ɛk mˈɑr iːjə ˈɔf oːɑr rjɔxt oːʋˈaːn ntlˈiːnə kˈɪn ɔm ˈiːt tə ndɛrnˈɪmə ˈɔf hɑnlɪŋə fˈɛn hˈɔkər ˈaːrt ɛk tə fɛrjˈɔxtʃə diːt ɪt fɛrneːjˈaːtəɣjə fˈɛn iːjə fˈɛn ˈeːjə rjɔxtə ˈɛn frˈɛɪheːdə neːjɑmt jn dˈɪzə fɛrkleːjˈɑrɪŋ taː dˈuːl hɒːʋə
